intrebare,intentie,preparat,confidenta_sugerata,intrebare_curatata
Cum se face pizza?,reteta,pizza,0.95,cum se face pizza
Rețetă de pizza clasică,reteta,pizza,0.94,reteta de pizza clasica
Cum prepar pizza acasă?,reteta,pizza,0.93,cum prepar pizza acasa
Vreau să fac pizza,reteta,pizza,0.92,vreau sa fac pizza
Pași pentru pizza,reteta,pizza,0.91,pasi pentru pizza
Instrucțiuni pizza,reteta,pizza,0.90,instructiuni pizza
Cum se prepară pizza margherita?,reteta,pizza,0.96,cum se prepara pizza margherita
Rețetă pizza cu șuncă,reteta,pizza,0.89,reteta pizza cu sunca
Cum fac pizza de casă?,reteta,pizza,0.94,cum fac pizza de casa
Mod de preparare pizza,reteta,pizza,0.88,mod de preparare pizza
Cum se fac clătitele?,reteta,clatite,0.95,cum se fac clatitele
Rețetă de clătite pufoase,reteta,clatite,0.94,reteta de clatite pufoase
Cum prepar clătite subțiri?,reteta,clatite,0.93,cum prepar clatite subtiri
Vreau rețeta de clătite,reteta,clatite,0.92,vreau reteta de clatite
Clătite clasice rețetă,reteta,clatite,0.91,clatite clasice reteta
Cum se fac clătite americane?,reteta,clatite,0.90,cum se fac clatite americane
Rețetă clătite cu brânză,reteta,clatite,0.89,reteta clatite cu branza
Cum fac clătite fără ouă?,reteta,clatite,0.88,cum fac clatite fara oua
Clătite cu lapte rețetă,reteta,clatite,0.87,clatite cu lapte reteta
Cea mai bună rețetă de clătite,reteta,clatite,0.86,cea mai buna reteta de clatite
Cum se fac sarmalele?,reteta,sarmale,0.95,cum se fac sarmalele
Rețetă de sarmale tradiționale,reteta,sarmale,0.94,reteta de sarmale traditionale
Cum prepar sarmale în foi de viță?,reteta,sarmale,0.93,cum prepar sarmale in foi de vita
Sarmale moldovenești rețetă,reteta,sarmale,0.92,sarmale moldovenesti reteta
Cum fac sarmale cu carne de porc?,reteta,sarmale,0.91,cum fac sarmale cu carne de porc
Rețetă sarmale în foi de varză,reteta,sarmale,0.90,reteta sarmale in foi de varza
Cea mai bună rețetă de sarmale,reteta,sarmale,0.89,cea mai buna reteta de sarmale
Cum se fac sarmalele ardelenești?,reteta,sarmale,0.88,cum se fac sarmalele ardelenesti
Sarmale de post rețetă,reteta,sarmale,0.87,sarmale de post reteta
Cum fac sarmale mici și gustoase?,reteta,sarmale,0.86,cum fac sarmale mici si gustoase
Cum se face cozonacul?,reteta,cozonac,0.95,cum se face cozonacul
Rețetă de cozonac pufos,reteta,cozonac,0.94,reteta de cozonac pufos
Cum prepar cozonac cu nucă?,reteta,cozonac,0.93,cum prepar cozonac cu nuca
Cozonac tradițional rețetă,reteta,cozonac,0.92,cozonac traditional reteta
Cum fac cozonac ca la bunica?,reteta,cozonac,0.91,cum fac cozonac ca la bunica
Rețetă cozonac cu cacao,reteta,cozonac,0.90,reteta cozonac cu cacao
Cum se face cozonacul moldovenesc?,reteta,cozonac,0.89,cum se face cozonacul moldovenesc
Cozonac pufos rețetă,reteta,cozonac,0.88,cozonac pufos reteta
Cum fac cozonac fără zahăr?,reteta,cozonac,0.87,cum fac cozonac fara zahar
Cea mai bună rețetă de cozonac,reteta,cozonac,0.86,cea mai buna reteta de cozonac
Cum se face ciorba de burtă?,reteta,ciorba,0.95,cum se face ciorba de burta
Rețetă de ciorbă de burtă,reteta,ciorba,0.94,reteta de ciorba de burta
Cum prepar ciorbă de burtă acră?,reteta,ciorba,0.93,cum prepar ciorba de burta acra
Ciorbă de burtă ca la restaurant,reteta,ciorba,0.92,ciorba de burta ca la restaurant
Cum fac ciorbă de burtă cu smântână?,reteta,ciorba,0.91,cum fac ciorba de burta cu smantana
Rețetă ciorbă de burtă autentică,reteta,ciorba,0.90,reteta ciorba de burta autentica
Cum se face ciorba de perișoare?,reteta,ciorba,0.89,cum se face ciorba de perisoare
Rețetă ciorbă de văcuță,reteta,ciorba,0.88,reteta ciorba de vacuta
Ciorbă de legume rețetă,reteta,ciorba,0.87,ciorba de legume reteta
Cum fac ciorbă rapidă?,reteta,ciorba,0.86,cum fac ciorba rapida
Cum se face mămăliga cu brânză?,reteta,mamaliga,0.95,cum se face mamaliga cu branza
