intrebare,intentie,preparat,confidenta_sugerata
"Cum se face pizza?",reteta,pizza,0.95
"Rețetă de pizza clasică",reteta,pizza,0.94
"Cum prepar pizza acasă?",reteta,pizza,0.93
"Vreau să fac pizza",reteta,pizza,0.92
"Pași pentru pizza",reteta,pizza,0.91
"Instrucțiuni pizza",reteta,pizza,0.90
"Cum se prepară pizza margherita?",reteta,pizza,0.96
"Rețetă pizza cu șuncă",reteta,pizza,0.89
"Cum fac pizza de casă?",reteta,pizza,0.94
"Mod de preparare pizza",reteta,pizza,0.88
"Cum se fac clătitele?",reteta,clatite,0.95
"Rețetă de clătite pufoase",reteta,clatite,0.94
"Cum prepar clătite subțiri?",reteta,clatite,0.93
"Vreau rețeta de clătite",reteta,clatite,0.92
"Clătite clasice rețetă",reteta,clatite,0.91
"Cum se fac clătite americane?",reteta,clatite,0.90
"Rețetă clătite cu brânză",reteta,clatite,0.89
"Cum fac clătite fără ouă?",reteta,clatite,0.88
"Clătite cu lapte rețetă",reteta,clatite,0.87
"Cea mai bună rețetă de clătite",reteta,clatite,0.86
"Cum se fac sarmalele?",reteta,sarmale,0.95
"Rețetă de sarmale tradiționale",reteta,sarmale,0.94
"Cum prepar sarmale în foi de viță?",reteta,sarmale,0.93
"Sarmale moldovenești rețetă",reteta,sarmale,0.92
"Cum fac sarmale cu carne de porc?",reteta,sarmale,0.91
"Rețetă sarmale în foi de varză",reteta,sarmale,0.90
"Cea mai bună rețetă de sarmale",reteta,sarmale,0.89
"Cum se fac sarmalele ardelenești?",reteta,sarmale,0.88
"Sarmale de post rețetă",reteta,sarmale,0.87
"Cum fac sarmale mici și gustoase?",reteta,sarmale,0.86
"Cum se face cozonacul?",reteta,cozonac,0.95
"Rețetă de cozonac pufos",reteta,cozonac,0.94
"Cum prepar cozonac cu nucă?",reteta,cozonac,0.93
"Cozonac tradițional rețetă",reteta,cozonac,0.92
"Cum fac cozonac ca la bunica?",reteta,cozonac,0.91
"Rețetă cozonac cu cacao",reteta,cozonac,0.90
"Cum se face cozonacul moldovenesc?",reteta,cozonac,0.89
"Cozonac pufos rețetă",reteta,cozonac,0.88
"Cum fac cozonac fără zahăr?",reteta,cozonac,0.87
"Cea mai bună rețetă de cozonac",reteta,cozonac,0.86
"Cum se face ciorba de burtă?",reteta,ciorba,0.95
"Rețetă de ciorbă de burtă",reteta,ciorba,0.94
"Cum prepar ciorbă de burtă acră?",reteta,ciorba,0.93
"Ciorbă de burtă ca la restaurant",reteta,ciorba,0.92
"Cum fac ciorbă de burtă cu smântână?",reteta,ciorba,0.91
"Rețetă ciorbă de burtă autentică",reteta,ciorba,0.90
"Cum se face ciorba de perișoare?",reteta,ciorba,0.89
"Rețetă ciorbă de văcuță",reteta,ciorba,0.88
"Ciorbă de legume rețetă",reteta,ciorba,0.87
"Cum fac ciorbă rapidă?",reteta,ciorba,0.86
"Cum se face mămăliga cu brânză?",reteta,mamaliga,0.95
"Rețetă de mămăligă tradițională",reteta,mamaliga,0.94
"Cum prepar mămăligă moale?",reteta,mamaliga,0.93
"Mămăligă cu brânză și smântână",reteta,mamaliga,0.92
